Region,lat,lon
Northland,-35.4136,173.9321
Auckland,-36.8509,174.7645
Waikato,-37.6191,175.0233
Bay of Plenty,-37.903,176.550
Gisborne,-38.6641,178.0228
Hawke's Bay,-39.6017,176.5804
Taranaki,-39.3538,174.4383
Manawatū-Whanganui,-39.7273,175.4376
Wellington,-41.2924,174.7787
Tasman,-41.4571,172.8210
Nelson,-41.2985,173.2444
Marlborough,-41.5917,173.7624
West Coast,-42.6919,171.3399
Canterbury,-43.7542,171.1637
Otago,-45.4791,170.1548
Southland,-45.8489,167.6755

